Breed,Weight,Chest,Neck,BootSize,Age,Activity,HarnessSize
Beagle,11.0,47.9,36.5,5,91.0,High,S
Bulldog,19.0,61.1,40.4,1,85.0,High,M
Bulldog,24.8,62.5,40.3,1,12.0,Medium,M
Dachshund,8.4,45.8,33.3,3,51.0,High,S
German Shepherd,27.3,72.3,47.3,4,68.0,High,L
Poodle,22.1,47.4,38.8,6,116.0,Low,S
Bulldog,,57.6,35.9,5,116.0,High,M
Labrador,34.3,69.0,44.5,7,91.0,Low,L
Labrador,30.1,69.1,38.1,1,96.0,Medium,L
Bulldog,24.4,60.6,39.2,6,43.0,High,M
Boxer,30.5,61.7,37.8,6,,Medium,M
Chihuahua,3.0,27.7,21.3,7,78.0,Low,XS
Bulldog,21.1,67.7,40.6,2,9.0,High,L
Boxer,30.7,72.2,41.7,7,65.0,Low,L
Beagle,12.5,45.9,34.2,4,87.0,Low,S
German Shepherd,26.4,82.5,49.8,2,12.0,Medium,XL
Dachshund,7.4,43.6,25.4,5,100.0,Low,S
Dachshund,12.4,41.8,33.6,4,64.0,High,S
Boxer,151.5,68.5,41.7,3,34.0,High,L
Boxer,31.4,70.3,43.9,1,48.0,High,L
Bulldog,18.5,62.0,40.7,7,87.0,Medium,M
Bulldog,24.1,66.5,36.7,3,89.0,Medium,L
Rottweiler,36.7,77.6,58.2,1,72.0,Low,L
Boxer,26.8,64.6,41.2,7,80.0,High,M
Dachshund,14.5,41.8,29.0,7,27.0,High,S
Boxer,31.6,71.4,36.3,2,79.0,Low,L
Beagle,9.6,45.1,39.4,7,89.0,Medium,S
Rottweiler,50.9,80.1,58.7,5,86.0,Medium,XL
Labrador,28.0,74.8,43.3,6,23.0,High,L
Bulldog,24.9,59.8,37.8,6,65.0,Medium,M
Rottweiler,35.6,96.3,46.1,3,93.0,Medium,XL
Chihuahua,3.6,31.2,22.8,2,66.0,High,XS
German Shepherd,27.4,70.7,54.7,3,62.0,Low,L
Boxer,25.0,63.4,43.0,7,113.0,High,M
Rottweiler,51.7,86.1,59.3,7,50.0,Low,XL
Labrador,32.8,77.1,48.3,3,10.0,High,L
Chihuahua,2.9,25.9,18.1,6,110.0,High,XS
Labrador,31.8,80.6,46.5,3,1.0,Low,XL
Labrador,27.5,66.6,41.8,7,61.0,High,L
Beagle,9.8,49.5,38.6,6,106.0,High,S
Chihuahua,3.8,31.4,23.0,1,44.0,High,XS
Rottweiler,42.5,266.1,53.3,3,52.0,High,XL
Dachshund,11.8,44.3,25.1,4,3.0,Low,S
Poodle,21.5,57.0,35.6,5,100.0,Medium,M
Beagle,12.4,41.9,30.6,1,14.0,Low,S
Poodle,17.0,50.9,36.7,1,25.0,Low,M
Bulldog,20.8,62.0,37.4,7,70.0,High,M
German Shepherd,32.3,78.6,51.8,1,,Low,L
Rottweiler,58.9,90.2,57.4,6,30.0,Medium,XL
Golden Retriever,31.8,70.6,47.7,3,74.0,Low,L
Beagle,12.1,45.8,34.3,6,24.0,Medium,S
Dachshund,7.8,42.7,31.5,2,105.0,Medium,S
Beagle,9.1,41.3,31.7,3,22.0,Medium,S
Poodle,23.8,59.4,31.1,4,23.0,Medium,M
Rottweiler,43.1,81.5,48.8,7,86.0,High,XL
Bulldog,20.3,63.2,40.4,6,110.0,Medium,M
Golden Retriever,25.8,71.1,49.2,4,111.0,Medium,L
Bulldog,18.1,57.5,37.0,5,68.0,Medium,M
Boxer,25.1,62.9,42.0,6,99.0,High,M
Labrador,33.4,75.7,45.3,1,114.0,High,L
German Shepherd,38.8,79.1,46.2,3,17.0,Medium,L
Boxer,26.2,188.7,38.8,4,39.0,High,M
Labrador,29.8,74.5,48.5,1,35.0,High,L
Beagle,11.0,42.1,37.1,3,9.0,Low,S
Poodle,23.5,54.0,34.2,6,46.0,Low,M
Golden Retriever,28.5,77.4,44.6,5,7.0,Low,L
Beagle,11.5,54.6,39.3,1,112.0,High,M
Rottweiler,53.9,,58.0,1,18.0,Medium,XL
Rottweiler,37.9,76.6,55.5,2,48.0,Low,L
German Shepherd,26.1,77.9,50.6,5,76.0,Medium,L
Labrador,29.8,68.2,48.9,3,117.0,High,L
Poodle,19.7,46.8,37.3,2,79.0,Medium,S
Chihuahua,2.4,26.1,16.8,4,71.0,Low,XS
Labrador,32.8,69.5,45.9,4,10.0,Medium,L
German Shepherd,36.2,80.5,52.9,1,30.0,High,XL
Beagle,13.6,48.2,32.2,4,85.0,Low,S
Poodle,17.9,56.8,31.3,1,7.0,High,M
Golden Retriever,26.9,69.0,39.4,6,53.0,Low,L
Boxer,25.7,63.3,,4,42.0,Low,M
Dachshund,7.6,41.5,31.6,4,,High,S
Rottweiler,57.0,78.5,59.5,4,106.0,Medium,L
German Shepherd,23.7,66.1,46.6,3,111.0,High,L
Rottweiler,51.4,97.5,51.6,1,37.0,Medium,XL
Dachshund,11.3,45.7,30.3,7,56.0,High,S
Golden Retriever,29.8,66.0,43.8,2,63.0,Low,L
Rottweiler,59.3,88.3,45.8,6,,Medium,XL
Chihuahua,3.3,27.1,21.5,6,57.0,High,XS
Golden Retriever,26.6,66.4,46.6,4,30.0,High,L
Golden Retriever,25.3,75.1,39.8,2,95.0,Medium,L
Boxer,29.2,68.7,37.8,5,76.0,Medium,L
Boxer,29.8,62.1,45.0,3,48.0,Medium,M
Beagle,13.7,44.5,32.4,1,23.0,High,S
German Shepherd,22.3,75.8,48.8,5,97.0,Low,L
Golden Retriever,29.5,73.9,40.6,2,115.0,Low,L
Chihuahua,3.9,32.3,,3,33.0,High,XS
Golden Retriever,30.1,67.0,49.3,7,108.0,Medium,L
Rottweiler,47.7,92.5,53.4,7,66.0,Low,XL
Bulldog,24.1,62.7,41.4,1,111.0,Medium,M
Bulldog,19.2,59.9,,5,106.0,Low,M
Beagle,11.1,42.1,32.1,1,81.0,Medium,S
Rottweiler,56.4,95.3,49.8,5,88.0,Medium,XL
German Shepherd,25.6,66.3,45.2,3,60.0,Low,L
Golden Retriever,27.2,76.2,38.9,4,60.0,High,L
Rottweiler,45.9,97.7,47.0,7,95.0,Medium,XL
German Shepherd,39.6,80.1,52.4,7,6.0,Low,XL
Rottweiler,46.9,75.7,47.1,1,118.0,Low,L
Rottweiler,39.6,95.3,51.4,4,118.0,Low,XL
Labrador,25.7,78.0,46.2,7,108.0,Low,L
Dachshund,12.2,43.2,29.0,7,42.0,Medium,S
Beagle,11.2,45.5,36.8,3,21.0,Low,S
German Shepherd,30.9,67.3,46.9,3,40.0,Low,L
Dachshund,11.7,42.3,31.5,1,77.0,Low,S
Bulldog,20.3,62.3,37.5,3,10.0,Medium,M
Beagle,,46.8,31.6,4,33.0,Low,S
Labrador,30.9,78.1,39.4,6,64.0,High,L
German Shepherd,,79.2,51.1,1,77.0,Low,L
Poodle,,58.5,37.9,7,50.0,Medium,M
German Shepherd,33.0,83.0,41.9,4,11.0,Low,XL
Labrador,30.2,75.0,40.6,5,54.0,High,L
Rottweiler,46.0,89.6,58.1,1,107.0,High,XL
Labrador,29.2,69.2,43.8,3,58.0,High,L
Labrador,33.6,66.1,46.3,5,3.0,High,L
Golden Retriever,28.6,69.7,48.3,2,98.0,High,L
Rottweiler,49.0,75.3,51.1,4,28.0,Medium,L
Boxer,27.2,65.3,35.5,6,3.0,High,L
Dachshund,9.7,45.1,30.3,5,101.0,Medium,S
Labrador,29.1,72.9,49.9,1,87.0,High,L
Labrador,35.6,69.3,38.2,5,76.0,Medium,L
Poodle,22.7,48.6,34.3,7,3.0,Low,S
Chihuahua,,29.0,24.6,6,37.0,Low,XS
Dachshund,8.8,132.89999999999998,31.3,2,110.0,High,S
Bulldog,19.5,56.3,42.4,4,119.0,Low,M
Chihuahua,2.6,30.5,17.8,1,6.0,Medium,XS
Golden Retriever,25.5,65.1,42.5,6,96.0,High,L
Golden Retriever,30.7,72.1,38.9,2,96.0,Low,L
Golden Retriever,31.9,73.5,48.3,4,89.0,High,L
Golden Retriever,35.0,70.1,44.7,2,27.0,High,L
Rottweiler,59.3,84.3,59.7,5,39.0,High,XL
Dachshund,7.7,39.9,30.0,7,79.0,Medium,S
Bulldog,25.0,57.1,43.3,1,83.0,Medium,M
Boxer,27.1,74.8,43.6,3,113.0,High,L
Bulldog,23.4,65.1,39.7,6,112.0,High,L
Chihuahua,3.7,29.4,24.3,5,26.0,High,XS
Poodle,17.1,53.4,33.7,7,52.0,Low,M
Beagle,10.0,43.3,32.4,7,113.0,High,S
German Shepherd,36.6,66.1,47.4,4,51.0,Medium,L
Golden Retriever,31.3,73.9,49.0,2,114.0,Low,L
Labrador,27.7,67.4,46.6,7,11.0,Medium,L
Dachshund,9.9,43.0,30.9,3,2.0,High,S
Golden Retriever,31.1,71.2,49.7,1,6.0,Low,L
German Shepherd,35.6,83.2,52.0,3,46.0,Medium,XL
Bulldog,24.3,62.9,37.8,4,85.0,High,M
Boxer,30.2,62.1,35.7,1,,High,M
Beagle,9.7,50.6,38.5,6,76.0,High,M
Golden Retriever,32.9,74.7,40.9,5,120.0,Low,L
Boxer,27.0,68.7,38.7,6,96.0,Medium,L
Rottweiler,58.1,241.5,59.3,6,12.0,High,XL
Bulldog,22.4,62.4,39.1,4,41.0,High,M
Rottweiler,53.3,81.8,53.3,2,32.0,High,XL
Bulldog,20.1,62.2,39.3,5,109.0,Medium,M
Boxer,31.6,60.4,42.9,2,42.0,Low,M
German Shepherd,35.0,70.7,49.5,2,84.0,High,L
Chihuahua,2.4,26.1,15.1,5,33.0,Medium,XS
Beagle,12.9,49.6,36.0,5,87.0,Low,S
Golden Retriever,34.1,68.0,39.8,1,70.0,Low,L
Bulldog,20.0,60.9,38.0,6,106.0,High,M
German Shepherd,37.6,75.5,41.1,1,68.0,Medium,L
Golden Retriever,29.4,66.3,49.8,4,44.0,High,L
Bulldog,20.7,56.8,37.2,2,76.0,High,M
Poodle,17.1,45.8,31.3,2,1.0,High,S
Bulldog,19.4,68.4,42.2,3,,Low,L
Chihuahua,3.3,34.1,21.1,5,88.0,Medium,XS
Labrador,26.3,70.6,43.6,7,43.0,High,L
Labrador,27.4,71.0,42.6,7,80.0,Medium,L
Rottweiler,49.5,95.6,49.0,4,83.0,Medium,XL
Boxer,31.6,61.4,41.1,5,73.0,High,M
Chihuahua,3.0,29.6,20.4,5,12.0,Medium,XS
Rottweiler,38.8,93.7,55.3,6,64.0,High,XL
Labrador,28.8,75.9,40.6,3,47.0,Low,L
Dachshund,12.0,48.2,34.9,5,103.0,Low,S
Labrador,25.9,83.9,41.9,4,63.0,Low,XL
German Shepherd,34.9,73.7,44.0,1,38.0,Low,L
Bulldog,21.8,69.6,41.7,7,81.0,Low,L
German Shepherd,32.3,69.2,48.2,5,79.0,Low,L
Dachshund,8.2,41.5,27.5,6,76.0,High,S
Poodle,22.9,57.0,38.0,6,105.0,Low,M
Golden Retriever,33.3,76.3,45.5,1,23.0,Low,L
German Shepherd,35.9,80.9,54.6,7,20.0,Medium,XL
Poodle,21.8,52.9,38.5,3,54.0,High,M
Rottweiler,48.0,76.6,51.1,1,98.0,Low,L
Dachshund,10.6,41.4,32.9,3,74.0,Low,S
Rottweiler,51.7,99.4,49.9,1,87.0,Medium,XL
Rottweiler,59.5,84.5,45.3,3,89.0,Low,XL
Chihuahua,2.6,30.4,19.5,5,78.0,Medium,XS
Rottweiler,43.3,90.0,49.6,2,66.0,Medium,XL
Rottweiler,57.4,92.4,51.1,4,103.0,Medium,XL
Boxer,30.3,65.5,37.5,3,71.0,Low,L
German Shepherd,32.7,71.6,43.2,2,45.0,Medium,L
Labrador,25.9,78.5,49.7,5,100.0,Medium,L
Chihuahua,2.9,25.1,19.5,2,97.0,Low,XS
German Shepherd,25.1,81.3,51.1,4,74.0,Low,XL
Dachshund,11.1,35.6,33.3,2,59.0,Low,S
Boxer,29.2,68.1,42.8,7,54.0,High,L
Poodle,23.8,53.5,37.5,4,117.0,High,M
Rottweiler,58.4,99.1,46.2,5,16.0,Low,XL
Bulldog,22.8,64.0,37.9,4,116.0,High,M
Rottweiler,44.3,82.7,52.2,2,6.0,High,XL
Boxer,30.0,63.4,42.6,5,7.0,Medium,M
Labrador,28.5,69.7,39.1,5,96.0,Medium,L
Golden Retriever,26.0,79.5,42.3,1,90.0,High,L
Chihuahua,2.4,32.9,24.5,2,120.0,High,XS
Rottweiler,40.4,93.6,51.2,4,114.0,High,XL
Poodle,20.7,56.9,34.0,4,4.0,Medium,M
German Shepherd,,77.3,42.7,7,24.0,Medium,L
Poodle,23.5,,32.0,2,112.0,Medium,M
Rottweiler,,81.3,55.5,2,78.0,High,XL
Bulldog,18.6,58.9,39.0,3,75.0,Low,M
Golden Retriever,27.2,68.3,39.5,6,118.0,High,L
Dachshund,12.1,44.2,33.9,1,14.0,Low,S
Dachshund,14.2,41.8,26.4,1,,High,S
German Shepherd,28.7,66.8,53.3,6,100.0,High,L
Golden Retriever,32.1,72.6,40.3,7,76.0,High,L
Bulldog,20.3,59.5,38.7,6,92.0,Medium,M
German Shepherd,27.0,73.9,43.0,7,111.0,Medium,L
Rottweiler,43.9,85.2,52.4,1,107.0,Low,XL
Boxer,27.7,67.7,43.3,6,97.0,Medium,L
Boxer,29.8,72.0,40.0,3,93.0,Medium,L
Rottweiler,43.5,81.2,50.0,7,82.0,High,XL
Beagle,13.1,41.9,,2,49.0,Medium,S
Chihuahua,3.5,27.5,15.9,1,67.0,Low,XS
Labrador,33.3,80.7,45.5,4,103.0,High,XL
Chihuahua,3.4,27.4,23.6,3,38.0,Low,XS
German Shepherd,37.9,70.3,52.0,2,6.0,Low,L
Dachshund,11.3,41.5,,1,62.0,Low,S
German Shepherd,22.3,65.8,45.8,6,114.0,High,L
Dachshund,11.5,43.7,26.9,3,70.0,Medium,S
Boxer,27.5,70.9,44.9,6,80.0,Low,L
Dachshund,14.8,39.5,34.0,3,98.0,Medium,S
Golden Retriever,31.0,65.9,39.1,5,50.0,High,L
Chihuahua,3.0,32.4,20.7,2,70.0,Medium,XS
Bulldog,115.0,61.5,42.5,1,100.0,Low,M
Bulldog,19.9,68.6,40.9,3,101.0,High,L
Bulldog,23.3,59.5,44.3,6,74.0,High,M
Labrador,32.8,69.5,43.2,7,12.0,High,L
Bulldog,22.2,62.5,44.5,1,95.0,High,M
Boxer,26.0,70.2,35.3,7,21.0,Medium,L
Chihuahua,2.8,28.2,15.4,2,76.0,High,XS
Dachshund,12.8,35.4,27.9,1,106.0,Medium,S
Golden Retriever,30.3,67.4,45.6,5,71.0,Low,L
Beagle,12.6,53.1,36.6,5,104.0,Medium,M
Poodle,120.5,48.3,32.0,6,72.0,Medium,S
Rottweiler,60.0,77.9,51.1,6,25.0,Low,L
Labrador,35.3,68.2,41.9,5,58.0,Low,L
Boxer,28.4,66.8,43.4,7,70.0,Low,L
Beagle,12.6,53.6,38.7,3,,Low,M
Rottweiler,51.0,81.5,51.7,2,37.0,High,XL
Dachshund,9.1,49.5,32.2,7,103.0,High,S
Poodle,20.4,56.4,37.7,1,88.0,High,M
Rottweiler,55.5,99.6,48.5,1,104.0,Low,XL
Golden Retriever,32.2,73.7,41.9,3,50.0,High,L
Boxer,26.3,70.7,42.7,1,30.0,Low,L
Dachshund,11.8,49.1,31.5,7,112.0,High,S
Labrador,29.8,69.1,38.7,3,95.0,Medium,L
Rottweiler,38.9,78.0,51.0,4,38.0,High,L
Bulldog,19.9,68.5,44.6,4,66.0,High,L
Poodle,17.4,58.1,,2,8.0,Low,M
Golden Retriever,31.9,72.7,48.3,2,6.0,Low,L
Bulldog,21.6,61.9,39.9,1,82.0,Medium,M
Labrador,32.5,71.2,48.3,3,98.0,Low,L
Golden Retriever,,69.7,43.7,6,25.0,Medium,L
Bulldog,23.1,63.2,43.1,1,38.0,Low,M
German Shepherd,37.1,81.2,48.9,2,58.0,High,XL
Bulldog,25.0,56.9,44.3,1,108.0,Low,M
Chihuahua,,26.9,22.7,5,96.0,High,XS
Dachshund,11.3,43.9,29.3,4,3.0,Low,S
Bulldog,19.9,57.9,38.3,2,30.0,Medium,M
Chihuahua,2.3,26.1,18.4,7,3.0,Low,XS
Poodle,17.7,46.3,37.5,5,88.0,High,S
Poodle,21.0,57.7,34.2,2,67.0,High,M
German Shepherd,26.8,83.7,51.9,6,89.0,Low,XL
Labrador,27.5,74.4,46.3,1,98.0,High,L
Labrador,25.0,73.5,49.7,5,85.0,High,L
Chihuahua,3.6,28.1,19.5,4,43.0,Low,XS
Boxer,25.8,66.6,37.4,6,40.0,Medium,L
Rottweiler,,80.1,53.2,2,45.0,Medium,XL
Golden Retriever,32.3,69.6,44.9,1,48.0,High,L
Bulldog,24.9,68.4,39.0,1,76.0,High,L
Dachshund,8.2,48.0,31.4,6,82.0,Low,S
Poodle,16.3,52.6,39.1,1,27.0,High,M
Dachshund,14.9,43.1,33.7,2,31.0,Medium,S
Bulldog,24.6,57.1,40.7,2,61.0,High,M
Dachshund,14.6,44.2,28.0,6,68.0,High,S
Chihuahua,2.2,34.8,20.7,6,101.0,Medium,XS
Bulldog,22.0,57.6,42.7,1,20.0,Medium,M
Chihuahua,3.8,34.1,15.0,2,9.0,Medium,XS
German Shepherd,28.5,66.7,42.3,4,28.0,Medium,L
Boxer,26.7,67.3,,2,87.0,Medium,L
Beagle,11.8,42.8,36.0,5,93.0,Medium,S
Dachshund,13.7,50.0,31.3,1,107.0,Low,M
Bulldog,22.8,59.8,38.9,5,78.0,Medium,M
Beagle,9.9,44.1,34.0,4,32.0,High,S
Bulldog,24.1,59.9,40.1,1,110.0,High,M
Bulldog,21.2,61.7,38.7,2,50.0,Low,M
Beagle,10.9,50.3,33.0,3,10.0,Low,M
Boxer,32.0,,40.9,1,22.0,Low,L
Bulldog,21.8,68.1,41.2,3,66.0,Medium,L
Rottweiler,55.4,75.4,49.5,6,37.0,Low,L
Beagle,10.1,42.8,30.5,6,87.0,Low,S
Dachshund,7.8,39.3,28.9,1,95.0,Low,S
Poodle,18.3,58.6,36.1,1,14.0,Medium,M
Golden Retriever,28.7,66.9,49.1,1,4.0,High,L
Bulldog,23.8,63.3,35.5,3,58.0,Medium,M
Chihuahua,3.0,28.2,21.1,1,116.0,Low,XS
Labrador,31.0,72.0,39.4,5,58.0,Low,L
German Shepherd,27.4,84.5,40.0,7,28.0,Medium,XL
Dachshund,7.0,37.5,26.8,1,110.0,Medium,S
Dachshund,8.3,39.3,27.9,5,38.0,Low,S
Poodle,23.2,56.0,34.9,1,51.0,Low,M
Dachshund,11.5,41.0,31.4,2,16.0,Medium,S
German Shepherd,32.6,74.3,50.4,7,83.0,High,L
Poodle,21.9,51.6,32.0,1,112.0,High,M
Golden Retriever,30.9,75.1,43.9,4,70.0,High,L
Dachshund,14.6,41.8,25.2,4,5.0,High,S
Chihuahua,3.2,25.5,24.7,7,18.0,High,XS
Chihuahua,2.7,32.1,15.8,4,90.0,Medium,XS
Chihuahua,4.0,34.6,24.5,5,13.0,High,XS
Golden Retriever,31.4,79.8,39.2,4,82.0,Low,L
Rottweiler,37.7,91.0,49.1,2,21.0,High,XL
Chihuahua,3.4,33.8,21.5,5,53.0,High,XS
Dachshund,10.6,41.7,33.8,5,105.0,Medium,S
Labrador,35.2,72.1,48.2,7,10.0,High,L
German Shepherd,26.0,84.5,47.7,2,24.0,Medium,XL
Poodle,17.8,54.4,33.7,5,97.0,Medium,M
Golden Retriever,25.2,74.1,41.0,2,64.0,High,L
Dachshund,8.7,39.3,30.6,5,10.0,Medium,S
Beagle,13.1,45.3,34.6,1,49.0,Medium,S
Boxer,31.8,63.7,35.7,6,96.0,High,M
Labrador,33.7,66.4,43.4,1,69.0,Medium,L
Chihuahua,3.8,34.7,18.0,6,94.0,High,XS
Golden Retriever,27.2,73.3,46.5,1,63.0,Low,L
German Shepherd,23.5,77.7,54.5,2,22.0,Low,L
Beagle,10.0,46.3,39.2,4,17.0,Low,S
Golden Retriever,30.4,70.2,46.1,1,66.0,Low,L
Beagle,13.5,41.0,32.2,6,44.0,Low,S
Golden Retriever,26.1,79.9,42.8,2,102.0,High,L
Bulldog,24.4,65.8,38.4,6,52.0,Medium,L
Boxer,28.7,62.5,35.8,3,45.0,Low,M
Chihuahua,2.3,33.6,23.0,2,109.0,Low,XS
Bulldog,20.5,67.1,37.5,5,73.0,Medium,L
Rottweiler,49.3,96.3,46.7,7,120.0,High,XL
Rottweiler,48.0,83.4,48.1,2,101.0,Medium,XL
Golden Retriever,28.2,77.3,,6,112.0,High,L
Dachshund,39.0,41.8,26.2,1,18.0,Low,S
Chihuahua,3.6,34.9,23.7,5,94.0,Low,XS
Chihuahua,3.8,32.4,20.4,1,40.0,Low,XS
German Shepherd,25.9,67.1,51.1,7,32.0,Low,L
Boxer,29.6,67.4,44.5,1,1.0,High,L
Boxer,26.9,63.5,44.1,7,72.0,Low,M
Boxer,31.7,74.1,41.0,4,84.0,High,L
Rottweiler,40.6,85.0,58.2,6,42.0,Medium,XL
Beagle,10.8,43.1,33.2,5,64.0,Medium,S
Bulldog,18.3,66.0,36.0,1,36.0,Medium,L
Bulldog,23.2,59.7,41.4,5,99.0,High,M
Beagle,13.4,50.1,37.6,1,8.0,High,M
Chihuahua,2.6,33.2,16.4,6,75.0,Low,XS
Beagle,12.4,45.8,34.1,2,26.0,High,S
Dachshund,7.2,41.8,32.6,6,38.0,Low,S
German Shepherd,28.1,75.3,47.2,6,1.0,High,L
Rottweiler,50.5,75.8,51.3,6,40.0,High,L
Beagle,11.1,48.2,32.9,2,22.0,Medium,S
Chihuahua,2.9,27.9,15.4,6,115.0,Medium,XS
Rottweiler,53.0,85.6,56.3,1,3.0,Low,XL
Poodle,20.3,48.5,31.7,2,,High,S
Labrador,33.9,83.0,49.2,1,120.0,Low,XL
Dachshund,11.1,40.1,25.5,2,51.0,High,S
German Shepherd,36.6,76.4,,1,116.0,Low,L
Golden Retriever,27.1,67.6,46.9,2,82.0,High,L
Bulldog,20.0,58.5,40.5,2,57.0,Low,M
Poodle,20.8,48.7,32.2,3,109.0,Low,S
Beagle,12.4,45.8,32.7,5,53.0,High,S
Rottweiler,59.0,75.5,46.6,2,110.0,High,L
Chihuahua,3.8,27.0,18.2,4,7.0,Medium,XS
Boxer,25.4,73.4,41.9,3,16.0,Medium,L
Boxer,25.1,70.2,37.1,7,120.0,High,L
Bulldog,18.2,58.4,37.2,6,29.0,Low,M
Rottweiler,38.8,85.3,53.3,1,72.0,Low,XL
Dachshund,9.7,45.0,34.6,4,67.0,Low,S
Labrador,29.3,68.4,39.6,4,39.0,Low,L
Dachshund,13.4,40.6,32.2,7,8.0,Low,S
Bulldog,19.8,61.8,40.6,6,32.0,Low,M
Beagle,13.1,46.9,30.4,6,35.0,High,S
Dachshund,14.2,43.7,27.7,4,64.0,Low,S
Bulldog,20.0,67.3,,4,37.0,High,L
Boxer,29.6,62.9,43.8,6,65.0,Low,M
Chihuahua,2.1,,22.3,2,20.0,Low,XS
Rottweiler,46.1,78.7,45.2,1,6.0,Low,L
Bulldog,20.9,61.6,39.1,2,73.0,Medium,M
Boxer,29.8,70.1,38.6,2,20.0,High,L
Labrador,25.8,75.0,42.0,2,91.0,Low,L
Bulldog,23.1,57.0,43.6,7,,Low,M
German Shepherd,35.1,84.6,54.2,2,20.0,Low,XL
Chihuahua,3.4,28.2,21.3,6,86.0,High,XS
Golden Retriever,29.3,77.9,48.4,5,108.0,Medium,L
Labrador,33.7,84.2,43.7,4,113.0,High,XL
Labrador,26.7,70.9,40.6,1,28.0,High,L
Dachshund,13.9,36.6,34.3,6,115.0,High,S
Rottweiler,36.6,88.2,45.3,1,43.0,Medium,XL
Bulldog,,68.1,45.0,6,10.0,High,L
German Shepherd,25.5,81.4,47.3,7,50.0,High,XL
Poodle,16.5,58.7,34.9,1,105.0,High,M
Bulldog,21.4,61.0,42.3,6,68.0,Low,M
Boxer,26.0,69.3,42.2,1,103.0,High,L
Rottweiler,36.9,84.3,46.6,2,19.0,Low,XL
Bulldog,22.7,63.1,39.6,6,57.0,Low,M
Poodle,19.5,59.5,34.3,7,28.0,Low,M
Bulldog,18.6,62.7,,7,87.0,High,M
Chihuahua,3.9,26.6,23.2,3,117.0,High,XS
Chihuahua,2.9,31.6,24.8,2,2.0,Medium,XS
Poodle,23.4,50.5,30.1,5,23.0,Medium,M
Beagle,9.1,47.8,39.3,3,70.0,High,S
Beagle,11.3,53.5,35.4,5,8.0,Medium,M
Beagle,10.5,40.6,35.5,1,113.0,Medium,S
Boxer,25.5,61.2,41.3,1,82.0,Low,M
Rottweiler,,81.5,59.2,1,47.0,Medium,XL
Bulldog,24.4,68.6,40.7,4,38.0,Low,L
Chihuahua,4.0,30.0,15.5,6,22.0,High,XS
Bulldog,19.2,59.5,35.1,5,38.0,High,M
Poodle,16.8,58.9,35.2,2,110.0,Low,M
German Shepherd,33.4,243.89999999999998,42.2,4,78.0,Medium,XL
Poodle,24.5,51.0,31.9,6,6.0,Medium,M
Labrador,27.3,73.0,48.8,5,38.0,Low,L
Bulldog,23.6,64.5,44.5,3,,Medium,M
German Shepherd,35.0,78.5,49.7,3,51.0,High,L
Chihuahua,3.6,27.9,19.0,4,37.0,Low,XS
Bulldog,24.0,64.7,37.1,3,45.0,High,M
Beagle,10.2,55.0,35.6,3,106.0,Medium,M
German Shepherd,39.4,75.2,51.2,2,82.0,High,L
Poodle,17.9,58.3,39.8,7,85.0,Low,M
Dachshund,9.1,41.9,32.9,2,74.0,Medium,S
Labrador,27.0,83.3,47.1,5,53.0,Medium,XL
German Shepherd,36.9,80.3,53.8,5,2.0,Low,XL
Beagle,11.2,53.2,35.8,5,6.0,High,M
Golden Retriever,33.2,65.2,44.6,6,119.0,High,L
Chihuahua,3.7,33.7,23.2,2,19.0,High,XS
Chihuahua,17.0,31.3,21.7,6,6.0,Medium,XS
Chihuahua,3.0,25.8,24.1,3,95.0,High,XS
Bulldog,19.8,62.9,38.3,1,110.0,Medium,M
German Shepherd,37.5,74.4,45.7,1,86.0,Medium,L
Chihuahua,3.5,31.2,16.2,2,113.0,High,XS
Bulldog,,68.7,44.1,5,50.0,High,L
Rottweiler,40.1,75.3,48.2,5,3.0,Low,L
Chihuahua,2.0,30.7,18.0,6,97.0,Medium,XS
Chihuahua,2.3,27.6,22.0,7,50.0,Low,XS
Rottweiler,45.3,95.5,54.7,4,104.0,High,XL
Rottweiler,36.8,97.4,48.8,5,75.0,Medium,XL
Chihuahua,3.5,33.2,17.9,4,48.0,Low,XS
Beagle,12.1,47.2,37.1,5,,High,S
German Shepherd,37.8,83.2,41.8,4,99.0,Medium,XL
Bulldog,24.4,56.5,,6,32.0,High,M
Poodle,15.2,45.0,38.3,3,80.0,High,S
Poodle,21.0,47.8,37.5,4,10.0,Medium,S
Poodle,19.9,45.2,38.9,7,56.0,High,S
Bulldog,18.9,57.8,38.2,5,16.0,Medium,M
Rottweiler,46.7,81.6,52.9,2,117.0,High,XL
Beagle,13.9,47.4,31.2,6,92.0,Medium,S
Rottweiler,44.9,76.9,58.0,7,4.0,Low,L
Bulldog,24.1,56.1,39.4,2,77.0,High,M
German Shepherd,23.1,75.5,49.7,4,82.0,High,L
Golden Retriever,33.6,76.5,44.0,2,88.0,Medium,L
Chihuahua,2.7,30.0,22.5,5,12.0,Medium,XS
Labrador,28.3,66.1,42.7,4,116.0,Low,L
German Shepherd,22.0,68.2,46.7,4,100.0,Low,L
Bulldog,23.1,67.1,42.3,1,40.0,Low,L
Chihuahua,3.7,31.5,19.4,5,68.0,Low,XS
Golden Retriever,33.3,75.6,38.8,6,83.0,Low,L
Labrador,29.4,70.2,49.4,3,62.0,High,L
Chihuahua,3.7,31.7,20.0,3,39.0,High,XS
German Shepherd,30.9,80.0,49.9,1,48.0,Low,XL
Rottweiler,44.3,92.5,45.7,5,14.0,High,XL
